iter	MultiClass
0	2.154817857
1	2.116855357
2	2.082602009
3	2.051770759
4	2.023917857
5	1.999048661
6	1.976709375
7	1.956592411
8	1.93848817
9	1.922341295
10	1.90736183
11	1.893916295
12	1.881834375
13	1.870827902
14	1.860858482
15	1.85169308
16	1.843587835
17	1.836040067
18	1.829179241
19	1.822919978
20	1.817203683
21	1.812060379
22	1.807299888
23	1.803135379
24	1.799161607
25	1.795421429
26	1.791905357
27	1.788717522
28	1.785809598
29	1.783179688
30	1.78063192
31	1.778245089
32	1.775951339
33	1.773930022
34	1.772012388
35	1.770201228
36	1.768545089
37	1.766948103
38	1.765427679
39	1.764043304
40	1.762719754
41	1.761524665
42	1.760330134
43	1.759219531
44	1.758075112
45	1.757088393
46	1.756074219
47	1.75513058
48	1.754242299
49	1.753412165
50	1.752590179
51	1.751797321
52	1.751085714
53	1.750338728
54	1.749624888
55	1.748979241
56	1.748265513
57	1.747629576
58	1.747005357
59	1.746393638
60	1.745842522
61	1.745247545
62	1.744712612
63	1.744170424
