iter	Passed	Remaining
0	282	1153405
1	479	977457
2	593	807236
3	717	732069
4	833	679998
5	939	638314
6	1058	616358
7	1182	602421
8	1298	587746
9	1408	573832
10	1524	564346
11	1639	556296
12	1750	548134
13	1865	542102
14	1977	536177
15	2082	529396
16	2189	523670
17	2302	519912
18	2418	517291
19	2528	513741
20	2641	510854
21	2749	507609
22	2864	505575
23	2977	503601
24	3083	500546
25	3205	500132
26	3343	502327
27	3458	500896
28	3572	499456
29	3708	501060
30	3828	500399
31	3944	499299
32	4065	499000
33	4179	497736
34	4289	496082
35	4413	496126
36	4532	495606
37	4648	494872
38	4760	493665
39	4880	493280
40	4987	491701
41	5100	490700
42	5248	493142
43	5459	501127
44	5643	506401
45	5856	513971
46	6104	524228
47	6245	525040
48	6401	527047
49	6558	529041
50	6755	534116
51	6937	537807
52	7125	541776
53	7314	545716
54	7462	546545
55	7645	549815
56	7825	552702
57	8001	555273
58	8178	557783
59	8370	561225
60	8553	563982
61	8729	566137
62	8880	566631
63	9058	568857
